"Catalog.","Old.","Order","Family","Genus","Updated.Genus","Species","Country","State","County","Date","Year","Locality","Collector","Remarks"
8320,"MEC 399","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/30/1978",1978,"Ashland Wildlife Area, MEC site 07","M. Clawson","0.4 g
SVL= 2.0 cm"
8318,"MEC 255","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/23/1978",1978,"Ashland Wildlife Area, MEC site 03","M. Clawson","0.5 g
SVL= 2.0 cm"
8306,"MEC 306","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","07/07/1978",1978,"Ashland Wildlife Area, MEC site 12","M. Clawson","0.5 g
SVL= 2.1 cm"
8305,"MEC 254","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/23/1978",1978,"Ashland Wildlife Area, MEC site 03","M. Clawson","0.6 g
SVL= 2.0 cm"
8309,"MEC 252","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/23/1978",1978,"Ashland Wildlife Area, MEC site 03","M. Clawson","0.6 g
SVL= 2.0 cm"
8311,"MEC 250","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/23/1978",1978,"Ashland Wildlife Area, MEC site 03","M. Clawson","0.6 g
SVL= 2.0 cm"
8303,"MEC 476","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/23/1978",1978,"Ashland Wildlife Area, MEC site 06","M. Clawson","0.6 g
SVL= 2.0 cm"
8319,"MEC 471","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/23/1978",1978,"Ashland Wildlife Area, MEC site 06","M. Clawson","0.6 g
SVL= 2.1 cm"
8298,"MEC 479","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/23/1978",1978,"Ashland Wildlife Area, MEC site 06","M. Clawson","0.7 g
SVL= 2.0 cm"
8312,"MEC 258","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/23/1978",1978,"Ashland Wildlife Area, MEC site 03","M. Clawson","0.7 g
SVL= 2.1 cm"
8299,"MEC 482","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/23/1978",1978,"Ashland Wildlife Area, MEC site 06","M. Clawson","0.7 g
SVL= 2.2 cm"
8297,"MEC 475","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/23/1978",1978,"Ashland Wildlife Area, MEC site 06","M. Clawson","0.8 g
SVL= 2.0 cm"
8314,"MEC 251","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/23/1978",1978,"Ashland Wildlife Area, MEC site 03","M. Clawson","0.8 g
SVL= 2.1 cm"
8324,"MEC 256","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/23/1978",1978,"Ashland Wildlife Area, MEC site 03","M. Clawson","0.8 g
SVL= 2.1 cm"
8304,"MEC 259","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/23/1978",1978,"Ashland Wildlife Area, MEC site 03","M. Clawson","0.8 g
SVL= 2.3 cm"
8315,"MEC 477","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/23/1978",1978,"Ashland Wildlife Area, MEC site 06","M. Clawson","0.8 g
SVL= 2.3 cm"
8325,"MEC 135","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","07/07/1978",1978,"Ashland Wildlife Area, MEC site 11","M. Clawson","0.8 g
SVL= 2.5 cm"
8308,"MEC 338","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","07/14/1978",1978,"Ashland Wildlife Area, MEC site 11","M. Clawson","0.9 g
SVL= 2.1 cm"
8295,"MEC 497","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/30/1978",1978,"Ashland Wildlife Area, MEC site 08","M. Clawson","0.9 g
SVL= 2.2 cm"
8321,"MEC 463","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/30/1978",1978,"Ashland Wildlife Area, MEC site 09","M. Clawson","0.9 g
SVL= 2.3 cm"
8302,"MEC 257","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/28/1978",1978,"Ashland Wildlife Area, MEC site 03","M. Clawson","0.9 g
SVL= 2.4 cm"
8322,"MEC 342","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","07/14/1978",1978,"Ashland Wildlife Area, MEC site 09","M. Clawson","1.0 g
SVL= 2.5 cm"
8313,"MEC 253","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/23/1978",1978,"Ashland Wildlife Area, MEC site 03","M. Clawson","1.1 g
SVL= 2.3 cm"
8296,"MEC 472","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/23/1978",1978,"Ashland Wildlife Area, MEC site 06","M. Clawson","1.2 g
SVL= 2.4 cm"
8323,"MEC 473","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/23/1978",1978,"Ashland Wildlife Area, MEC site 06","M. Clawson","1.2 g
SVL= 2.4 cm"
8310,"MEC 483","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","06/23/1978",1978,"Ashland Wildlife Area, MEC site 06","M. Clawson","1.3 g
SVL= 2.7 cm"
8294,"MEC 345","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","07/14/1978",1978,"Ashland Wildlife Area, MEC site 06","M. Clawson","1.6 g
SVL= 3.0 cm"
8307,"MEC 341","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","07/14/1978",1978,"Ashland Wildlife Area, MEC site 09","M. Clawson","2.0 g
SVL= 2.9 cm"
8292,"MEC 339","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","07/14/1978",1978,"Ashland Wildlife Area, MEC site 11","M. Clawson","2.2 g
SVL= 3.2 cm"
8290,"MEC 131","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","04/26/1979",1979,"Ashland Wildlife Area, MEC site 08","M. Clawson","2.8 g
SVL= 3.5 cm"
8317,"MEC 379","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","07/21/1978",1978,"Ashland Wildlife Area, MEC site 10","M. Clawson","3.2 g
SVL= 3.2 cm"
8291,"MEC 548","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","08/31/1978",1978,"Ashland Wildlife Area, MEC site 07","M. Clawson","4.8 g
SVL= 3.6 cm"
8300,"MEC 2","Anura","Bufonidae","Anaxyrus",NA,"americanus","USA","MO","Boone","03/29/1979",1979,"Ashland Wildlife Area, MEC site 11","M. Clawson","8.9 g
SVL= 5.0 cm"
