"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Puma yagouaroundi tolteca","Sinaloan jaguarundi","Wherever found","Foreign","Endangered","Mammals"
"Leptoptilos dubius","Greater adjutant","Wherever found","Foreign","Endangered","Birds"
"Viverra civettina (=megaspila c.)","Malabar large-spotted civet","Wherever found","Foreign","Endangered","Mammals"
"Haliaeetus vociferoides","Madagascar sea eagle","Wherever found","Foreign","Endangered","Birds"
"Capromys angelcabrerai","Cabrera's hutia","Wherever found","Foreign","Endangered","Mammals"
"Ciconia boyciana (=ciconia b.)","Oriental white stork","Wherever found","Foreign","Endangered","Birds"
"Crocodylus intermedius","Orinoco crocodile","Wherever found","Foreign","Endangered","Reptiles"
"Empidonax euleri johnstonei","Euler's flycatcher","Wherever found","Foreign","Endangered","Birds"
"Pyriglena atra","Fringe-backed fire-eye","Wherever found","Foreign","Endangered","Birds"
"Liophus ornatus","Maria Island snake","Wherever found","Foreign","Endangered","Reptiles"
"Sitta ledanti","Algerian nuthatch","Wherever found","Foreign","Endangered","Birds"
"Anodorhynchus glaucus","Glaucous macaw","Wherever found","Foreign","Endangered","Birds"
"Mimizuku (=Otus) gurneyi","Giant scops owl","Wherever found","Foreign","Endangered","Birds"
"Ursus arctos arctos","Brown bear","Italy","Foreign","Endangered","Mammals"
"Alligator sinensis","Chinese alligator","Wherever found","Foreign","Endangered","Reptiles"
"Amazona versicolor","St. Lucia parrot","Wherever found","Foreign","Endangered","Birds"
"Cinclodes aricomae","Royal cinclodes","Wherever found","Foreign","Endangered","Birds"
"Pseudomys gouldii","Gould's mouse","Wherever found","Foreign","Endangered","Mammals"
"Cyclura nubila nubila","Cuban ground iguana","(Cyclura nubila nubila)","Foreign","Threatened","Reptiles"
"Caprolagus hispidus","Hispid hare","Wherever found","Foreign","Endangered","Mammals"
"Bufo periglenes","Monte Verde golden toad","Wherever found","Foreign","Endangered","Amphibians"
"Cephalophus jentinki","Jentink's duiker","Wherever found","Foreign","Endangered","Mammals"
"Macaca sinica","Toque macaque","Wherever found","Foreign","Threatened","Mammals"
"Crocodylus porosus","Saltwater crocodile","Australia","Foreign","Threatened","Reptiles"
"Varanus bengalensis","Indian (=Bengal) monitor","Wherever found","Foreign","Endangered","Reptiles"
